          Pi       NnzSnp      SigmaSq            S       ResVar       GenVar     SigmaSqG          hsq 
  0.00869952        24318  0.000271627    -0.150365      6.59097      1.58571      2.43201     0.206887 









  0.00533315        15029  9.54225e-05    -0.325332      7.16555     0.655502     0.665756    0.0855232 









  0.00540519        15045  8.47329e-05    -0.332263      7.16859      0.60354     0.602289    0.0787438 






   0.0154149        43324  3.97779e-05    -0.112053      7.10106     0.676256      0.68078     0.088231 









   0.0150815        42147   3.9816e-05    -0.103655      7.12539     0.653844     0.656925    0.0853069 









    0.015623        43554   3.9655e-05   -0.0698305       7.1016     0.663584     0.655731    0.0865776 









   0.0158585        44508   3.7732e-05    -0.101554      7.09665     0.663188     0.656071     0.086526 









   0.0154748        43694  3.86273e-05    -0.102943      7.11921     0.664854     0.657592    0.0867434 









   0.0153755        43199  3.81168e-05    -0.103067       7.1462     0.649723     0.646263    0.0847692 









   0.0153725        42991  3.94597e-05    -0.108652      7.11799      0.66337     0.667651    0.0865497 









   0.0154836        43453  4.03957e-05    -0.115644      7.08424     0.687991     0.686647     0.089762 









   0.0153493        42816  3.94394e-05    -0.106872      7.14432     0.673655     0.665672    0.0878917 









   0.0158237        44060  3.93002e-05   -0.0838877      7.12984     0.668277     0.666208      0.08719 









   0.0156583        43730  3.80217e-05    -0.109112      7.11264     0.650904     0.649681    0.0849233 









   0.0159261        44888  3.83522e-05    -0.108877      7.09769     0.689186     0.657602    0.0899179 









   0.0156654        43930  3.95361e-05   -0.0928599      7.10599     0.676233      0.67357     0.088228 









   0.0157139        43758   3.8897e-05   -0.0938131      7.11021     0.668833     0.661978    0.0872625 









   0.0154905        43245  3.87235e-05   -0.0900792      7.10698     0.650767     0.648935    0.0849054 









   0.0157376        43979  3.85244e-05   -0.0791468      7.11781     0.655231       0.6515    0.0854878 









   0.0163917        45520  3.84832e-05   -0.0781064      7.10943      0.67145     0.655244    0.0876039 









   0.0162972        45424  3.82663e-05   -0.0754529      7.10523     0.654993     0.665459    0.0854568 









   0.0165643        46246  3.72943e-05   -0.0766042      7.13698     0.663816      0.66054     0.086608 









   0.0157782        44260  3.65533e-05    -0.104726      7.10793     0.639381     0.634124      0.08342 









   0.0154886        43419  3.82145e-05   -0.0837087        7.145      0.64933     0.640821     0.084718 









   0.0153703        43119  3.85061e-05   -0.0833851       7.1176     0.649665      0.64242    0.0847616 









   0.0158652        44254  3.77077e-05   -0.0810397      7.08916     0.653796     0.644189    0.0853006 









   0.0158914        44453  3.74533e-05    -0.101126      7.14264      0.65403     0.652695    0.0853311 









   0.0156625        43976  3.74829e-05    -0.087709      7.09292     0.641049     0.638132    0.0836376 









   0.0155247        43808  3.70305e-05   -0.0850803      7.12266     0.635852     0.625108    0.0829595 









   0.0158236        44222  3.86194e-05   -0.0722547      7.09369     0.651824     0.656724    0.0850433 









   0.0158796        44766  3.94214e-05   -0.0625023      7.13023     0.675428     0.670822     0.088123 









   0.0159862        44919    3.804e-05    -0.075701      7.10464     0.653083     0.652773    0.0852076 









   0.0161144        45289  3.71682e-05   -0.0743388      7.11491     0.655897     0.647187    0.0855748 









   0.0164145        45829  3.66108e-05   -0.0785454      7.11243     0.653337      0.65469    0.0852408 









   0.0169847        47595  3.69721e-05   -0.0895451      7.11993     0.687698     0.683087    0.0897238 









   0.0169634        47630  3.62398e-05    -0.111296      7.09162     0.685567     0.673551    0.0894458 









   0.0168803        46957  3.55849e-05    -0.100129      7.13582     0.660201     0.654724    0.0861363 









   0.0165227        46123  3.58137e-05   -0.0961687      7.13796     0.651523     0.645751    0.0850041 









   0.0168067        47090  3.60347e-05    -0.103051        7.118     0.652312     0.659257     0.085107 









   0.0171338        48110  3.60326e-05    -0.106205      7.12027     0.690785     0.678766    0.0901266 









   0.0172422        48290  3.55496e-05    -0.111086        7.107     0.681765     0.671171    0.0889498 









   0.0172251        48280  3.50229e-05    -0.118543      7.14224     0.669055     0.665089    0.0872914 









   0.0171233        48130  3.45235e-05    -0.107747      7.11036     0.660854     0.654217    0.0862215 









   0.0176411        48976  3.50208e-05     -0.10606      7.10934     0.671811     0.670606     0.087651 









   0.0174172        48857  3.34273e-05    -0.104287      7.11229     0.648124     0.638865    0.0845606 









     0.01721        48345  3.35839e-05    -0.105275      7.15639     0.636687     0.632644    0.0830685 









   0.0173476        49126  3.30717e-05    -0.103423      7.09402     0.651868     0.637015     0.085049 









   0.0177289        49851  3.50943e-05    -0.100043      7.08079       0.6842     0.686967    0.0892674 









   0.0175383        48874  3.41428e-05    -0.115733      7.11432     0.671238     0.660379    0.0875763 









   0.0179335        49768  3.47944e-05    -0.117171      7.08818     0.689084     0.686099    0.0899047 









   0.0174413        48794   3.3891e-05    -0.115189      7.10921     0.667208     0.655436    0.0870505 









   0.0173194        48524  3.47243e-05    -0.119013      7.10697     0.667967     0.667342    0.0871496 









   0.0171634        47764  3.45094e-05    -0.100512      7.13296     0.653665     0.646161    0.0852835 









   0.0172795        48380  3.42166e-05   -0.0776703      7.15655      0.64083      0.63761     0.083609 









   0.0174401        48841  3.44286e-05   -0.0696809      7.13372     0.650805     0.635707    0.0849104 









   0.0171819        48175  3.53571e-05   -0.0583731      7.15402     0.651846     0.659442    0.0850462 









   0.0172035        47947  3.48095e-05   -0.0647122      7.15218     0.648843     0.633865    0.0846544 









   0.0168985        47520  3.53337e-05   -0.0749828      7.12163     0.648892     0.642967    0.0846608 









   0.0166875        46705  3.60045e-05   -0.0715698      7.07546     0.650559     0.643395    0.0848783 









   0.0168249        47031  3.52161e-05   -0.0782545      7.11129     0.649876     0.638977    0.0847891 









   0.0175985        48817  3.44758e-05   -0.0572792      7.15095      0.63925     0.630526    0.0834028 









   0.0175266        49168    3.442e-05   -0.0665941      7.09654     0.647797     0.648356    0.0845179 









   0.0184106        51638  3.31235e-05   -0.0584094      7.16186      0.65705     0.629725    0.0857251 









   0.0183469        51183  3.42057e-05   -0.0587437      7.12002     0.657591     0.664128    0.0857958 









   0.0183758        51200  3.43938e-05   -0.0555218      7.11518     0.662686     0.655499    0.0864605 









   0.0185101        51838  3.26595e-05   -0.0611682      7.10479     0.641855     0.642817    0.0837427 









   0.0182795        50946  3.25359e-05   -0.0545872      7.12879     0.626408     0.637685    0.0817274 









   0.0181532        50864  3.34537e-05   -0.0445984      7.12126     0.651996     0.637967    0.0850658 









   0.0179942        50584  3.44195e-05   -0.0390951       7.1476     0.648746     0.642921    0.0846418 









   0.0182714        51103  3.44578e-05    -0.041617       7.1395     0.664434     0.659728    0.0866886 









   0.0180118        50720   3.3567e-05   -0.0458388      7.13481     0.648444     0.639289    0.0846023 









   0.0180517        50969  3.31876e-05   -0.0632018      7.10925     0.653027     0.640596    0.0852003 









   0.0175622        49361  3.51882e-05    -0.063567      7.12112     0.654267      0.66445     0.085362 









   0.0176871        49403  3.43739e-05   -0.0574056      7.10118     0.645421     0.645861    0.0842079 









   0.0173911        48812   3.5157e-05   -0.0344963       7.1128     0.643291      0.63687      0.08393 









   0.0166764        46614  3.59732e-05   -0.0180007      7.13135     0.615184     0.615385    0.0802629 









   0.0161006        45331  3.69774e-05   -0.0171017      7.11094     0.633695     0.618967     0.082678 









   0.0164537        46217  3.76463e-05   -0.0147985      7.13079     0.645235     0.639689    0.0841836 









   0.0167108        46685  3.55636e-05   -0.0229286      7.12597     0.619128     0.618188    0.0807775 









