          Pi       NnzSnp      SigmaSq            S       ResVar       GenVar     SigmaSqG          hsq 
  0.00876489        24580  0.000349058    -0.122048      7.13173      2.02552      2.94805     0.236729 









  0.00539352        15009  0.000121047    -0.279984       7.9642     0.746202     0.772043    0.0872111 









   0.0049558        13977  0.000104435    -0.300148      7.99061     0.649878     0.641248    0.0759533 






   0.0106261        30245  6.12324e-05   -0.0233895      7.99403     0.647443      0.63596    0.0756688 









   0.0105489        29682  5.76797e-05    -0.013329      8.04297     0.601645     0.586473    0.0703162 









   0.0108468        30180  6.05152e-05   -0.0217899      7.96796     0.632125     0.631163    0.0738785 









   0.0109715        30727  5.94708e-05   -0.0265104      8.00862     0.647892     0.629424    0.0757212 









   0.0110082        30981  5.97543e-05   -0.0420659      7.98671     0.642646     0.643551    0.0751082 









   0.0107573        30405  6.10918e-05   -0.0463105      8.02065     0.654967     0.655149    0.0765481 









   0.0105647        29741  6.26948e-05   -0.0289816      7.95528     0.665787     0.644405    0.0778127 









   0.0106526        30125  5.95038e-05   -0.0130829      8.06282     0.627975     0.617653    0.0733935 









   0.0107346        30263  6.10819e-05   -0.0247406       8.0059     0.640819     0.641263    0.0748946 









   0.0106067        29912  6.00937e-05  -0.00549371      8.06318     0.620819      0.62112    0.0725572 









   0.0108203        30395   5.7753e-05   -0.0231574      8.07557     0.610812     0.598825    0.0713876 









   0.0110038        31034   5.8703e-05   -0.0422917      8.04393     0.643626     0.640407    0.0752227 









   0.0115197        32640  5.69982e-05   -0.0499373      8.03399     0.666743     0.649633    0.0779245 









   0.0117326        33073  5.56683e-05   -0.0300086      8.06419     0.648014     0.632778    0.0757355 









   0.0112964        31783  5.72435e-05 -0.000784256      7.98926     0.621109     0.615128    0.0725911 









   0.0113251        31600  6.05412e-05    0.0459553      8.03581     0.635989     0.632813    0.0743302 









   0.0111268        31280  5.90209e-05    0.0418462      8.06497     0.602552     0.603038    0.0704223 









     0.01138        32001  5.87792e-05    0.0385775      8.04981     0.621531     0.615717    0.0726404 









   0.0112969        31814  6.13455e-05    0.0554083      8.07899     0.625113     0.639068    0.0730591 









   0.0114168        31915  5.90292e-05    0.0426764      8.04572     0.620458     0.617663    0.0725149 









   0.0113951        32205  5.66464e-05    0.0603906      8.03284     0.608583     0.591841    0.0711271 









   0.0114246        32103  6.03004e-05    0.0867443       7.9666      0.62156     0.616027    0.0726438 









